[ 1797.474333] nouveau 0000:09:00.0: devinit: 0x0000a23d[ ]: 		0x00000000
[ 1797.474334] nouveau 0000:09:00.0: devinit: 0x0000a241[ ]: 		0x00000000
[ 1797.474336] nouveau 0000:09:00.0: devinit: 0x0000a245[ ]: 		0x00000000
[ 1797.474337] nouveau 0000:09:00.0: devinit: 0x0000a249[ ]: 		0x00000000
[ 1797.474339] nouveau 0000:09:00.0: devinit: 0x0000a24d[ ]: 		0x00000020
[ 1797.474341] nouveau 0000:09:00.0: devinit: 0x0000a251[ ]: 		0x00000020
[ 1797.474342] nouveau 0000:09:00.0: devinit: 0x0000a255[ ]: 		0x00000020 *
[ 1797.474344] nouveau 0000:09:00.0: devinit: 0x0000a259[ ]: 		0x00000020
[ 1797.474346] nouveau 0000:09:00.0: devinit: 0x0000a25d[ ]: 	}
[ 1797.474348] nouveau 0000:09:00.0: devinit: 0x0000a25d[ ]: RAM_RESTRICT_ZM_REG_GROUP	R[0x00110d38] 0x08 0x01
[ 1797.474349] nouveau 0000:09:00.0: devinit: 0x0000a264[ ]: 	R[0x110d38] = {
[ 1797.474351] nouveau 0000:09:00.0: devinit: 0x0000a264[ ]: 		0x55555555
[ 1797.474353] nouveau 0000:09:00.0: devinit: 0x0000a268[ ]: 		0x55555555
[ 1797.474354] nouveau 0000:09:00.0: devinit: 0x0000a26c[ ]: 		0x55555555
[ 1797.474356] nouveau 0000:09:00.0: devinit: 0x0000a270[ ]: 		0x55555555
[ 1797.474358] nouveau 0000:09:00.0: devinit: 0x0000a274[ ]: 		0x55555555
[ 1797.474359] nouveau 0000:09:00.0: devinit: 0x0000a278[ ]: 		0x55555555
[ 1797.474361] nouveau 0000:09:00.0: devinit: 0x0000a27c[ ]: 		0x55555555 *
[ 1797.474363] nouveau 0000:09:00.0: devinit: 0x0000a280[ ]: 		0x55555555
[ 1797.474364] nouveau 0000:09:00.0: devinit: 0x0000a284[ ]: 	}
[ 1797.474366] nouveau 0000:09:00.0: devinit: 0x0000a284[ ]: RAM_RESTRICT_ZM_REG_GROUP	R[0x00111d38] 0x08 0x01
[ 1797.474368] nouveau 0000:09:00.0: devinit: 0x0000a28b[ ]: 	R[0x111d38] = {
[ 1797.474370] nouveau 0000:09:00.0: devinit: 0x0000a28b[ ]: 		0x55555555
[ 1797.474371] nouveau 0000:09:00.0: devinit: 0x0000a28f[ ]: 		0x55555555
[ 1797.474373] nouveau 0000:09:00.0: devinit: 0x0000a293[ ]: 		0x55555555
[ 1797.474375] nouveau 0000:09:00.0: devinit: 0x0000a297[ ]: 		0x55555555
[ 1797.474376] nouveau 0000:09:00.0: devinit: 0x0000a29b[ ]: 		0x55555555
[ 1797.474378] nouveau 0000:09:00.0: devinit: 0x0000a29f[ ]: 		0x55555555
[ 1797.474380] nouveau 0000:09:00.0: devinit: 0x0000a2a3[ ]: 		0x55555555 *
[ 1797.474381] nouveau 0000:09:00.0: devinit: 0x0000a2a7[ ]: 		0x55555555
[ 1797.474383] nouveau 0000:09:00.0: devinit: 0x0000a2ab[ ]: 	}
[ 1797.474385] nouveau 0000:09:00.0: devinit: 0x0000a2ab[ ]: RAM_RESTRICT_ZM_REG_GROUP	R[0x00112d38] 0x08 0x01
[ 1797.474386] nouveau 0000:09:00.0: devinit: 0x0000a2b2[ ]: 	R[0x112d38] = {
[ 1797.474388] nouveau 0000:09:00.0: devinit: 0x0000a2b2[ ]: 		0x55555555
[ 1797.474390] nouveau 0000:09:00.0: devinit: 0x0000a2b6[ ]: 		0x55555555
[ 1797.474391] nouveau 0000:09:00.0: devinit: 0x0000a2ba[ ]: 		0x55555555
[ 1797.474393] nouveau 0000:09:00.0: devinit: 0x0000a2be[ ]: 		0x55555555
[ 1797.474395] nouveau 0000:09:00.0: devinit: 0x0000a2c2[ ]: 		0x55555555
[ 1797.474396] nouveau 0000:09:00.0: devinit: 0x0000a2c6[ ]: 		0x55555555
[ 1797.474398] nouveau 0000:09:00.0: devinit: 0x0000a2ca[ ]: 		0x55555555 *
[ 1797.474400] nouveau 0000:09:00.0: devinit: 0x0000a2ce[ ]: 		0x55555555
[ 1797.474401] nouveau 0000:09:00.0: devinit: 0x0000a2d2[ ]: 	}
[ 1797.474403] nouveau 0000:09:00.0: devinit: 0x0000a2d2[ ]: RAM_RESTRICT_ZM_REG_GROUP	R[0x00113d38] 0x08 0x01
[ 1797.474405] nouveau 0000:09:00.0: devinit: 0x0000a2d9[ ]: 	R[0x113d38] = {
[ 1797.474407] nouveau 0000:09:00.0: devinit: 0x0000a2d9[ ]: 		0x55555555
[ 1797.474408] nouveau 0000:09:00.0: devinit: 0x0000a2dd[ ]: 		0x55555555
[ 1797.474410] nouveau 0000:09:00.0: devinit: 0x0000a2e1[ ]: 		0x55555555
[ 1797.474412] nouveau 0000:09:00.0: devinit: 0x0000a2e5[ ]: 		0x55555555
[ 1797.474413] nouveau 0000:09:00.0: devinit: 0x0000a2e9[ ]: 		0x55555555
[ 1797.474415] nouveau 0000:09:00.0: devinit: 0x0000a2ed[ ]: 		0x55555555
[ 1797.474417] nouveau 0000:09:00.0: devinit: 0x0000a2f1[ ]: 		0x55555555 *
[ 1797.474418] nouveau 0000:09:00.0: devinit: 0x0000a2f5[ ]: 		0x55555555
[ 1797.474420] nouveau 0000:09:00.0: devinit: 0x0000a2f9[ ]: 	}
[ 1797.474422] nouveau 0000:09:00.0: devinit: 0x0000a2f9[ ]: NV_REG	R[0x110200] &= 0xffffefff |= 0x00001000
[ 1797.474424] nouveau 0000:09:00.0: devinit: 0x0000a306[ ]: NV_REG	R[0x11e808] &= 0xfcffffff |= 0x02000000
[ 1797.474426] nouveau 0000:09:00.0: devinit: 0x0000a313[ ]: ZM_REG	R[0x11e4c0] = 0x0000100a
[ 1797.474427] nouveau 0000:09:00.0: devinit: 0x0000a31c[ ]: CONDITION	0x2d
[ 1797.474429] nouveau 0000:09:00.0: devinit: 0x0000a31e[ ]: 	[0x2d] (R[0x001590] & 0x00000008) == 0x00000008
[ 1797.474431] nouveau 0000:09:00.0: devinit: 0x0000a31e[ ]: NOT
[ 1797.474433] nouveau 0000:09:00.0: devinit: 0x0000a31f[ ]: TIME	0x0064
[ 1797.474435] nouveau 0000:09:00.0: devinit: 0x0000a322[ ]: RESUME
[ 1797.474436] nouveau 0000:09:00.0: devinit: 0x0000a323[ ]: ZM_REG	R[0x110218] = 0x01001000
